name,amenity
Kaffeegiesserei,cafe
Café karda`mo:m,cafe
Schloss Wilkinghege,restaurant
Rimini,restaurant
LOWINEREI,bar
Tide,bar
Osmania,fast_food
Hafenbar,bar
Spanisches Zentrum Hiltrup,restaurant
Ediths Stehcafe,cafe
Luminá,restaurant
Cafe-Bistro Agnes Meile,cafe
Nordsee,fast_food
Gaststätte Stuhlmacher,restaurant
Mimigernaford,restaurant
Mr. Hot Wok,fast_food
Hahni,restaurant
Hotel Galactica,restaurant
Peters Weinbar,bar
KCM Schwulen- und Lesbenzentrum,bar
Griechischer Grill,fast_food
Delizie,restaurant
Curry 48,fast_food
Kleines Brauhaus,restaurant
Golfclub Restaurant Hessfeld,restaurant
Bar Levin,bar
Café Bölling,cafe
Vapiano,restaurant
Il Borgo,restaurant
Le Vina,restaurant
Gianni Sommacal,cafe
Bar Madame,bar
Speiselokal Med,fast_food
mono,bar
Tante August,cafe
Zwanzig20,bar
Cena’s Pizza,fast_food
Burger King,fast_food
Bun Bites Beef,restaurant
Domino's,fast_food
Grand Café,bar
Pröhlken,restaurant
Gaststätte Jedermann,restaurant
Roxeler Gyros & Pizza,fast_food
Ugarit,fast_food
Friedenskrug,restaurant
elbēn,fast_food
El Greco,restaurant
Buddha Palace,restaurant
Cheers II,fast_food
Sushi-Münster,restaurant
Golden Valley,restaurant
LWL Kantine,restaurant
Piccolo Mondo,restaurant
Dejavu,bar
Fischbrathalle,restaurant
Nub's Grill,fast_food
Puschmanns Imbiss,fast_food
paín & gâteau,cafe
Altes Gasthaus Freitag,restaurant
Zerda Grill,fast_food
Albachtener Grill,fast_food
Hafentor,restaurant
Café Sieben,cafe
King Food,fast_food
paín & gâteau,cafe
Bistro-Lounge,fast_food
Wersetiger,restaurant
Papa George,fast_food
Bei Keko,fast_food
Central-Grill,fast_food
beetschwester,restaurant
Köpi-Stuben,restaurant
Eis Cafe Delizioso,cafe
Bistro Oeconomicum,cafe
Denkpause,cafe
Domon,restaurant
Anh Tài Asia,fast_food
viva CAFE,bar
Café Tibus,cafe
Sylt am Bült,restaurant
,fast_food
Wohnzimmer e.V.,bar
Laterne,bar
Flammpunkt,restaurant
Speisesaal,fast_food
Aposto,restaurant
Kessler Grill,fast_food
casa do benfica,restaurant
Pizza Venezia,fast_food
Lusomar,restaurant
Dorfgrill,fast_food
Sicurini,cafe
Takumi Classic,restaurant
Habiba Restaurant,fast_food
Bergamo,cafe
Gievenbecker Kebaphaus,fast_food
Reiterstübchen,cafe
Lieferdienst Texas Pizza,fast_food
Pastado,fast_food
La Strada,restaurant
Essmanns,cafe
Ciao Münster - Pizza & Vino,restaurant
Domino's,fast_food
Teeamo,cafe
Rico Vollwertrestaurant,restaurant
Eiscafé Milano,cafe
Deniz,restaurant
Pasta e Basta,bar
Altes Gasthaus Drübbelken,restaurant
Restaurant Vocatio,restaurant
Villa Medici,restaurant
bona'me,restaurant
Herr Hase,cafe
Burgercult,fast_food
Munay - Perus kleine Schätze,restaurant
Feldmann,restaurant
Jusho,restaurant
Hans im Glück,restaurant
Pizzaria Rüschhaus,restaurant
Fyal Central,cafe
Früh bis spät,bar
Das andere Restaurant,fast_food
Urfa Grillhaus,fast_food
Babel,bar
,fast_food
Drei:klang,cafe
Shadi,restaurant
ExKaffee,cafe
Bröker,cafe
Kaffeeschule Münster,cafe
Maki Maki sushi green,fast_food
Curry1,fast_food
Muwa Sushi,restaurant
Lyalina,restaurant
Auf Messers Schneide,restaurant
Kliewe,cafe
Green Panda,restaurant
Früh bis spät,restaurant
Ristorante Maggio,restaurant
Kortmann,restaurant
Vinothek am Theater,restaurant
Bubblebe,cafe
Café Unique,cafe
Cinnamood,cafe
Bethlehem Cravings,cafe
Café Nobis,cafe
pamina,restaurant
Lieblingscafe,cafe
Vapiano,restaurant
Hochstapler,restaurant
MS Günther,bar
McCafé,cafe
burgerme,fast_food
Café Neon,cafe
Indian Ocean,restaurant
Heile Welt,bar
Knopfs Knolle,restaurant
Gelateria Arte Bio,cafe
Eis Café Giardino,cafe
Monsieur Macaron,cafe
Burger King,fast_food
Umami,restaurant
Palmyra,fast_food
Pizzeria - Ristorante L'Incontro,restaurant
al afandi,fast_food
Y Kebab,fast_food
A. Cat,bar
KluNies - Wein- und Espressobar,cafe
Zeit für Brot,cafe
Kami Kitchen,restaurant
Herr Sonnenschein,cafe
Kumo Kun,cafe
Roestbar,cafe
Roestbar,cafe
Lido a Casa,restaurant
Pho Nudelhaus,fast_food
Pfefferkorn,restaurant
Freundschaft,bar
Shooter Stars,bar
Ouzerie,restaurant
Rossini,restaurant
Münsters KaffeeBar,cafe
Supernormal,cafe
