NAME,STR_NAME,HSNR,HSNR_ZUS,PLZ,ORT,RECHTSWERT,HOCHWERT,HOMEPAGE
Cineplex,Albersloher Weg,14,,48155,Münster,406311,5756398,https://www.cineplex.de/programm/muenster/
Schloßtheater,Melchersstraße,81,,48149,Münster,404799,5758738,https://www.cineplex.de/infos/das-schlosstheater/1161/muenster/
Cinema,Warendorfer Straße,45,,48145,Münster,406750,5757686,http://cinema-muenster.de/
