Zeile,Name,Fläche 2022,Fläche 2024,ObjektNr,statBz,Rev,RevierBezeichnung,Objekt_Bezeichnung,Anzahl SpielG,Nutzungsform,Koordinaten_X_Y,gis_komplex_UTM,LatLon,LatLonPolygon,Planungsstatus
1,SP MÜHLENSTRASSE,"2422,64","2422,64",21101,11,12,Revier Innenstadt-Mitte,SP MÜHLENSTRASSE,14,ABC-0: ABC-Bereich ohne Ballspielangebot,"405221,9375","MULTIPOLYGON (((405247.411 5757427.65, 405249.453 5757424.158, 405254.6917 5757415.1996, 405255.198 5757414.3339, 405258.275 5757409.072, 405258.944 5757407.928, 405250.022 5757401.217, 405246.893 5757399.564, 405231.4859 5757380.657, 405230.8999 5757379.9379, 405230.521 5757379.473, 405213.312 5757358.226, 405198.6759 5757369.1759, 405198.2011 5757369.5311, 405195.028 5757371.905, 405191.421 5757374.603, 405191.6897 5757374.9854, 405191.8341 5757375.1909, 405192.4771 5757376.1059, 405192.2872 5757376.2992, 405191.039 5757377.571, 405190.8598 5757377.7538, 405185.103 5757383.618, 405183.0141 5757385.7459, 405183.5444 5757386.1515, 405185.0455 5757387.2993, 405187.4285 5757389.1206, 405188.3111 5757389.7958, 405189.811 5757390.942, 405192.1935 5757392.7636, 405194.5762 5757394.5858, 405196.9588 5757396.4072, 405197.165 5757396.565, 405197.8454 5757397.0855, 405197.993 5757397.198, 405198.6271 5757397.6829, 405198.745 5757397.773, 405199.3411 5757398.2288, 405199.6076 5757398.4325, 405200.7658 5757399.3179, 405201.939 5757400.215, 405202.6379 5757400.7491, 405202.8722 5757400.9287, 405203.1833 5757401.1666, 405204.1072 5757401.8727, 405206.49 5757403.694, 405208.8726 5757405.5155, 405211.1232 5757407.2368, 405211.2556 5757407.3375, 405213.028 5757408.693, 405213.402 5757408.979, 405213.5171 5757409.0669, 405213.6386 5757409.1595, 405213.8406 5757409.3139, 405213.873 5757409.3387, 405216.0209 5757410.9811, 405218.4021 5757412.8019, 405220.7844 5757414.6235, 405221.8493 5757415.4376, 405223.167 5757416.446, 405224.304 5757417.314, 405225.5504 5757418.2674, 405226.5503 5757419.0317, 405227.9335 5757420.0894, 405230.3169 5757421.9111, 405232.6995 5757423.7333, 405234.7769 5757425.3218, 405234.7928 5757425.3339, 405234.8862 5757425.4048, 405235.0819 5757425.5542, 405235.606 5757425.955, 405237.3638 5757427.5002, 405239.6159 5757429.4801, 405239.9618 5757429.7842, 405240.288 5757430.071, 405241.869 5757431.461, 405243.4417 5757432.8433, 405244.0575 5757433.3845, 405244.1208 5757433.4403, 405244.3719 5757433.6611, 405245.183 5757432.056, 405247.411 5757427.65)))","[7.620635595372197, 51.959164442790154]","[[7.620997197331092, 51.9594625154144], [7.621027869938164, 51.95943147585009], [7.62110655948472, 51.959351846730726], [7.621114164482698, 51.95934415173265], [7.62116038341282, 51.95929737989703], [7.621170432288636, 51.959287211141934], [7.621042476220669, 51.95922536959281], [7.6209974080799245, 51.95920997853292], [7.620778464977514, 51.95903740882335], [7.620770137633708, 51.959030845377484], [7.620764753265738, 51.95902660208411], [7.620520241837227, 51.95883269189483], [7.620304279967518, 51.95892861890399], [7.620297274081634, 51.95893173063593], [7.620250453525528, 51.95895252721201], [7.620197230664167, 51.958976162929176], [7.620201034441278, 51.95897964591396], [7.620203078600847, 51.95898151765423], [7.620212181078669, 51.9589898516885], [7.620209364872715, 51.95899155676895], [7.620190853788448, 51.95900277540071], [7.620188196153277, 51.95900438792676], [7.620102821799044, 51.95905611613947], [7.6200718429888585, 51.95907488637239], [7.6200794463885, 51.95907862250172], [7.620100969136318, 51.95908919537354], [7.62013513680367, 51.95910597231736], [7.620147791431676, 51.95911219179157], [7.62016929719448, 51.95912275006498], [7.620203457555669, 51.9591395296005], [7.62023762068666, 51.9591563145534], [7.6202717826091195, 51.95917309228875], [7.620274739077029, 51.95917454581753], [7.620284494615785, 51.95917934029454], [7.62028661101085, 51.95918037665668], [7.6202957027549125, 51.959184843251165], [7.620297393224941, 51.95918567320887], [7.620305940137242, 51.95918987176085], [7.62030976124929, 51.95919174813786], [7.620326367641963, 51.95919990394624], [7.6203431890480475, 51.95920816747411], [7.620353210006306, 51.95921308734202], [7.620356569292644, 51.95921474160699], [7.620361029860018, 51.95921693298997], [7.620374276900676, 51.95922343722336], [7.620408441862877, 51.95924021405485], [7.620442603885653, 51.95925699264015], [7.620474873102022, 51.95927284807383], [7.620476771615676, 51.959273775778065], [7.620502184411077, 51.95928626172103], [7.620507546858972, 51.95928889616395], [7.620509197206407, 51.95928970586682], [7.620510939371294, 51.95929055890622], [7.620513835686635, 51.95929198115249], [7.620514300234547, 51.95929220958842], [7.620545097078496, 51.95930733830989], [7.620579239027983, 51.959324110325554], [7.6206133967863305, 51.95934088970967], [7.620628665528541, 51.95934838869824], [7.620647558686679, 51.95935767722474], [7.620663861561459, 51.9593656729741], [7.620681732555419, 51.959374454979134], [7.620696069366312, 51.95938149525676], [7.62071590191947, 51.959391238065656], [7.620750075756627, 51.959408018497], [7.62078423784211, 51.959424803276434], [7.620814024022433, 51.95943943543709], [7.620814252015934, 51.959439546906815], [7.620815591347629, 51.95944020010398], [7.620818397401993, 51.95944157632705], [7.620825912045495, 51.959445268207766], [7.620851060285326, 51.95945945669019], [7.6208832802776865, 51.959477636672915], [7.620888228946083, 51.959480429000024], [7.620892895768801, 51.95948306247001], [7.620915514569468, 51.959495825805774], [7.620938014748862, 51.95950851851201], [7.62094682484401, 51.959513487985944], [7.6209477304147955, 51.959514000326955], [7.620951322806906, 51.95951602776086], [7.620963566410882, 51.959501738683215], [7.620997197331092, 51.9594625154144]]",
2,"SP GESAMTSCHULE MITTE, Katthagen",600,600,21201,12,12,Revier Innenstadt-Mitte,"SP GESAMTSCHULE MITTE, Katthagen",8,BC-1: BC-Bereich mit Ballspielangebot,"405227,4978","MULTIPOLYGON (((405241.4105 5757965.509, 405221.8759 5757959.3226, 405221.7463 5757959.7327, 405221.518 5757960.455, 405221.28 5757960.38, 405218.703 5757968.514, 405219.227 5757968.679, 405218.883 5757969.764, 405218.695 5757969.705, 405217.878 5757972.284, 405218.084 5757972.349, 405217.976 5757972.69, 405218.0515 5757972.9084, 405218.1084 5757973.1324, 405218.1461 5757973.3604, 405218.1645 5757973.5907, 405218.1634 5757973.8218, 405218.1429 5757974.052, 405218.103 5757974.2796, 405218.044 5757974.503, 405217.9664 5757974.7208, 405217.8707 5757974.9312, 405217.7575 5757975.1328, 405217.6278 5757975.3242, 405217.4824 5757975.5039, 405217.3224 5757975.6707, 405217.1488 5757975.8235, 405216.963 5757975.961, 405216.836 5757976.36, 405216.668 5757976.306, 405215.923 5757978.635, 405216.118 5757978.698, 405215.746 5757979.859, 405215.161 5757979.671, 405213.3026 5757985.4775, 405233.0973 5757991.7488, 405241.4105 5757965.509)))","[7.620556298769743, 51.96438361603951]","[[7.620761502003194, 51.96429598999494], [7.6204789667467825, 51.964237054056674], [7.620476967791081, 51.964240718106325], [7.620473446515276, 51.964247171508795], [7.620470004145346, 51.96424645680217], [7.6204302619743, 51.9643191291307], [7.620437841019353, 51.964320701555955], [7.620432536105689, 51.964330395325355], [7.620429816850965, 51.96432983295667], [7.620417217083971, 51.964352874757964], [7.620420196597324, 51.96435349412629], [7.620418530999487, 51.96435654075875], [7.620419569301672, 51.96435851669869], [7.620420335414415, 51.964360539802485], [7.620420821048835, 51.96436259558638], [7.62042102521903, 51.96436466875304], [7.62042094542881, 51.9643667457858], [7.6204205836024235, 51.96436881142138], [7.6204199402090325, 51.96437085037949], [7.620419020055437, 51.96437284832983], [7.620417830803381, 51.96437479277392], [7.620416380225022, 51.9643766676178], [7.620414677437189, 51.964378460380026], [7.620412737377028, 51.964380158647316], [7.620410572099133, 51.96438174907345], [7.620408197940536, 51.964383221059876], [7.620405629755601, 51.964384564889826], [7.620402888274197, 51.96438576911706], [7.620400930201123, 51.964389333837275], [7.620398500578354, 51.96438881981981], [7.6203870174359585, 51.96440962679215], [7.620389837446247, 51.964410226308964], [7.620384104112993, 51.964420598420645], [7.620375643804635, 51.96441880885801], [7.620346999956744, 51.96447068316494], [7.6206332977324776, 51.964530426881616], [7.620761502003194, 51.96429598999494]]",
3,SP COERDEPLATZ,2377,"3183,29",21401,14,12,Revier Innenstadt-Mitte,SP COERDEPLATZ,14,ABC-0: ABC-Bereich ohne Ballspielangebot,"405838,2376","MULTIPOLYGON (((405871.7411 5758338.5199, 405871.212 5758336.4154, 405871.1107 5758336.0047, 405871.013 5758335.609, 405870.67 5758334.132, 405870.617 5758333.898, 405871.4069 5758333.761, 405871.574 5758333.732, 405870.968 5758330.514, 405870.4681 5758330.5589, 405869.933 5758330.607, 405869.818 5758329.839, 405869.582 5758325.719, 405869.429 5758320.64, 405869.29 5758316.941, 405869.243 5758316.222, 405869.171 5758315.506, 405869.067 5758314.796, 405868.923 5758314.094, 405868.681 5758313.242, 405868.372 5758312.408, 405868.005 5758311.594, 405867.588 5758310.8, 405867.25 5758310.225, 405866.888 5758309.665, 405866.502 5758309.122, 405866.091 5758308.599, 405865.655 5758308.099, 405865.4369 5758307.8747, 405865.1355 5758307.5715, 405864.707 5758307.179, 405864.195 5758306.765, 405859.649 5758303.326, 405858.872 5758302.609, 405858.061 5758301.933, 405857.216 5758301.298, 405856.34 5758300.706, 405855.436 5758300.16, 405854.505 5758299.659, 405853.55 5758299.207, 405852.573 5758298.803, 405851.458 5758298.41, 405850.322 5758298.08, 405819.426 5758290.221, 405818.86 5758290.117, 405818.286 5758290.068, 405817.71 5758290.074, 405817.138 5758290.135, 405816.574 5758290.251, 405816.024 5758290.421, 405815.492 5758290.643, 405814.985 5758290.915, 405814.495 5758291.243, 405814.04 5758291.617, 405813.624 5758292.035, 405813.251 5758292.491, 405812.924 5758292.982, 405812.648 5758293.503, 405812.424 5758294.048, 405812.255 5758294.613, 405812.0633 5758295.3661, 405805.688 5758320.415, 405802.522 5758319.5, 405801.837 5758322.139, 405801.466 5758323.567, 405801.648 5758325.267, 405802.836 5758326.379, 405803.8894 5758326.6304, 405804.382 5758326.748, 405811.232 5758328.386, 405829.308 5758332.706, 405842.706 5758335.91, 405845.342 5758336.539, 405847.87 5758337.143, 405848.495 5758334.668, 405850.549 5758335.13, 405849.959 5758337.642, 405856.479 5758339.201, 405856.958 5758337.215, 405859.255 5758337.728, 405858.844 5758339.767, 405863.676 5758340.922, 405867.797 5758341.908, 405872.121 5758340.018, 405871.7411 5758338.5199)))","[7.629349636463001, 51.96754934060181]","[[7.629831047799547, 51.967755859701136], [7.629823925347824, 51.96773685394206], [7.629822563836371, 51.967733145237645], [7.629821250599619, 51.967729571969365], [7.629816664229268, 51.96771623796704], [7.629815957131768, 51.96771412569819], [7.62982748923002, 51.96771302804514], [7.629829928801497, 51.967712795677286], [7.629821992589203, 51.967683768273524], [7.629814705793968, 51.96768408720044], [7.629806905895096, 51.96768442892905], [7.629805442982783, 51.96767750633667], [7.629803138275533, 51.96764043402011], [7.629802304293792, 51.96759475584972], [7.629801295699888, 51.96756148409008], [7.6298008088834095, 51.96755501344618], [7.629799957448636, 51.967548565534], [7.629798638710399, 51.96754216613344], [7.62979673570591, 51.96753583186657], [7.629793447746435, 51.96752813273869], [7.629789179880666, 51.96752058405648], [7.629784062527167, 51.96751320532076], [7.629778212100896, 51.96750599788625], [7.629773451228554, 51.96750077229709], [7.629768337001161, 51.96749567746994], [7.629762868870456, 51.96749073138161], [7.629757031462189, 51.967485960828014], [7.629750823953911, 51.96748139277442], [7.629747711698929, 51.967479339733316], [7.6297434089100715, 51.96747656339775], [7.629737281069734, 51.967472962870325], [7.62972994404881, 51.96746915495036], [7.629664734437179, 51.967437473831374], [7.629653624279969, 51.96743089753058], [7.62964200812318, 51.96742468399625], [7.629629885966748, 51.96741883322823], [7.629617300917573, 51.96741336371131], [7.6296042958082895, 51.96740830291878], [7.629590885464682, 51.967403642031414], [7.6295771124450775, 51.96739941751094], [7.629563006126959, 51.96739562070752], [7.629546888648589, 51.96739189940155], [7.62953044831016, 51.96738874080785], [7.629083012179259, 51.96731286680603], [7.629074804412199, 51.967311836110525], [7.629066465144806, 51.9673112984228], [7.6290580816873454, 51.967311254759395], [7.629049741350081, 51.96731170613693], [7.629041502339766, 51.967312653233144], [7.629033452240982, 51.96731408807626], [7.629025649809139, 51.96731599336721], [7.629018197454954, 51.96731835231524], [7.629010977118296, 51.9673212174955], [7.629004253473801, 51.96732450207364], [7.628998085277069, 51.967328188750656], [7.6289925323810275, 51.96733222427378], [7.628987639263957, 51.96733658218617], [7.6289834800563705, 51.96734121839295], [7.628980070956105, 51.967346079133065], [7.628977456715943, 51.967351128961155], [7.628974460550032, 51.967357865666884], [7.628874816674367, 51.9675819356935], [7.628828996573935, 51.967573174766414], [7.628818304539877, 51.96759677915362], [7.628812514023078, 51.9676095517618], [7.628814696054048, 51.967624862937534], [7.628831678578749, 51.96763505939662], [7.628846938536262, 51.96763749759987], [7.628854074519415, 51.967638638115844], [7.628953305420146, 51.967654521929184], [7.629215160112083, 51.96769641461146], [7.629409247579767, 51.96772748322614], [7.629447433879475, 51.96773358346209], [7.629484055440422, 51.96773944068156], [7.6294938290754, 51.96771730017242], [7.62952359197101, 51.967721800734864], [7.629514317520048, 51.967744279746874], [7.629608768430371, 51.967759397029354], [7.629616283349043, 51.96774162712627], [7.629649568401718, 51.967746627223214], [7.629643028492759, 51.96776488503222], [7.629713026631961, 51.96777608501636], [7.629772724729507, 51.967785645508194], [7.629836165358817, 51.96776938960748], [7.629831047799547, 51.967755859701136]]",
4,SP MARTINISCHULE,776,"1080,18",21501,15,12,Revier Innenstadt-Mitte,SP MARTINISCHULE,21,BC-0: BC-Bereich ohne Ballspielangebot,"406016,8875","MULTIPOLYGON (((406017.163 5758067.307, 406012.044 5758061.246, 406010.9118 5758062.2478, 406010.6182 5758062.5072, 406008.047 5758064.782, 406007.6541 5758065.0981, 406007.1991 5758065.4641, 406001.7229 5758069.8699, 406001.34 5758070.178, 406001.5697 5758070.5633, 406002.37 5758071.906, 406005.148 5758075.243, 406011.21 5758082.524, 406009.588 5758086.964, 406008.654 5758089.521, 406008.581 5758089.72, 406007.678 5758092.192, 406005.132 5758099.165, 406004.497 5758100.904, 406003.9671 5758102.2513, 406003.2792 5758104.0004, 406013.7185 5758107.8814, 406020.855 5758110.4221, 406021.6566 5758108.1673, 406025.256 5758098.042, 406029.8898 5758085.1656, 406030.0414 5758084.7445, 406033.275 5758075.759, 406031.232 5758074.736, 406031.761 5758073.846, 406031.805 5758073.772, 406031.772 5758073.761, 406027.079 5758071.9376, 406018.141 5758068.465, 406017.5138 5758067.7222, 406017.163 5758067.307)))","[7.632012370180278, 51.96550915457626]","[[7.632021449223244, 51.96534268428675], [7.631948620894714, 51.965287339850974], [7.631931871915827, 51.96529615305131], [7.631927528706031, 51.965298435013864], [7.631889492206771, 51.96531844719888], [7.631883688545658, 51.96532122201501], [7.631876967599972, 51.96532443485435], [7.631796076670893, 51.96536311019705], [7.631790420699617, 51.965365814791845], [7.631793657625714, 51.9653693168805], [7.631804935360667, 51.96538152099059], [7.631844445018483, 51.96541198516194], [7.631930661247474, 51.96547845500474], [7.631905843929125, 51.96551808946253], [7.631891553211994, 51.96554091499865], [7.631890436503941, 51.96554269135652], [7.631876620124929, 51.96556475811422], [7.631837664019131, 51.9656270040564], [7.631827947965819, 51.96564252759245], [7.631819868463204, 51.965654548124824], [7.6318093798722035, 51.96567015349766], [7.631960222394241, 51.965706802748485], [7.632063372065491, 51.96573084623259], [7.63207565346399, 51.96571071460135], [7.632130800290413, 51.965620312378505], [7.632201751513238, 51.9655053568681], [7.632204072710987, 51.96550159745974], [7.632253584298354, 51.96542137836936], [7.632224136218148, 51.96541183784467], [7.632232077331568, 51.965403927547854], [7.6322327378326875, 51.965403269840415], [7.632232260654646, 51.96540316538924], [7.632164471073428, 51.96538598253962], [7.632035363302194, 51.96535325825173], [7.632026440125259, 51.96534647559734], [7.632021449223244, 51.96534268428675]]",
5,SP SCHARNHORSTSTRASSE,1072,1072,22101,21,11,Revier Innenstadt-West,SP SCHARNHORSTSTRASSE,10,BC-0: BC-Bereich ohne Ballspielangebot,"404543,7186","MULTIPOLYGON (((404581.818 5756626.667, 404577.484 5756622.737, 404570.292 5756630.759, 404565.0847 5756636.5678, 404564.3426 5756637.3952, 404563.568 5756638.259, 404556.013 5756646.686, 404555.655 5756646.358, 404555.6163 5756646.3227, 404555.5501 5756646.2619, 404551.4268 5756642.4689, 404546.8969 5756638.3041, 404546.3433 5756637.842, 404545.3951 5756636.9749, 404541.01 5756632.964, 404540.2843 5756632.2937, 404540.1735 5756632.1915, 404540.139 5756632.16, 404540.0639 5756632.0901, 404534.7256 5756627.1589, 404534.7406 5756627.1266, 404523.939 5756617.195, 404523.861 5756617.123, 404520.4183 5756626.6741, 404520.1512 5756627.4151, 404516.305 5756638.081, 404518.239 5756639.807, 404521.812 5756642.994, 404524.038 5756644.98, 404524.384 5756645.2886, 404524.8384 5756645.694, 404525.3403 5756646.1418, 404525.5675 5756646.3445, 404528.9631 5756649.3738, 404537.6795 5756657.1499, 404541.025 5756660.1342, 404541.4878 5756660.5471, 404550.397 5756668.4948, 404550.513 5756668.318, 404556.287 5756659.506, 404558.0583 5756657.1742, 404558.0833 5756657.1412, 404558.1369 5756657.0709, 404558.158 5756657.043, 404563.386 5756650.161, 404566.6533 5756645.9962, 404566.7363 5756645.8903, 404566.8612 5756645.7312, 404567.0419 5756645.5009, 404567.5143 5756644.8988, 404568.6507 5756643.4504, 404568.9809 5756643.0296, 404572.3338 5756638.7559, 404574.0964 5756636.5092, 404574.7823 5756635.6349, 404581.818 5756626.667)))","[7.610977227633157, 51.95228510230987]","[[7.611535853047322, 51.952149149424926], [7.611473898722046, 51.95211308147675], [7.6113670510048985, 51.952183952339254], [7.611289688557401, 51.95223527056893], [7.61127866362338, 51.95224258022022], [7.6112671558069165, 51.95225021147086], [7.611154914467629, 51.952324660141414], [7.611149797812959, 51.952321650512964], [7.611149244656172, 51.95232132658146], [7.611148298544878, 51.95232076872671], [7.611089371255778, 51.95228596814565], [7.611024632612992, 51.95224775586928], [7.611016707875996, 51.95224350732191], [7.611003155481729, 51.95223555075177], [7.61094048060464, 51.952198746594775], [7.61093011022218, 51.95219259712047], [7.610928526831351, 51.952191659489614], [7.6109280337185465, 51.952191370433844], [7.610926960674466, 51.95219072925543], [7.610850675627161, 51.952145489430656], [7.610850902800996, 51.9521452016805], [7.610696534055227, 51.95205407843043], [7.61069541941572, 51.95205341787647], [7.610642685831213, 51.952138675839755], [7.610638594521066, 51.95214529037947], [7.610579681351871, 51.95224049929303], [7.610607335233252, 51.95225634527856], [7.6106584253808345, 51.95228560466458], [7.610690254743284, 51.95230383773983], [7.610695202193232, 51.95230667095331], [7.610701699621891, 51.9523103928512], [7.6107088762442885, 51.9523145040105], [7.610712124959618, 51.9523163649591], [7.610760678453077, 51.95234417637922], [7.610885314047222, 51.9524155671697], [7.610933151459111, 51.95244296544291], [7.610939769037254, 51.95244675618254], [7.6110671621719295, 51.9525197222826], [7.6110688987146755, 51.95251815304403], [7.611155339702368, 51.95243993829447], [7.6111817541236615, 51.952419283145815], [7.611182126959475, 51.95241899081925], [7.6111829261939095, 51.95241836813381], [7.611183240880657, 51.952418120978734], [7.61126120293074, 51.95235716003762], [7.611309888302044, 51.9523202858534], [7.611311125095017, 51.95231934822528], [7.611312986172524, 51.95231793960459], [7.611315678733559, 51.95231590058547], [7.611322717843799, 51.95231056973669], [7.611339651038135, 51.95229774594987], [7.611344571242974, 51.95229402029459], [7.611394531921326, 51.95225618192642], [7.611420795936439, 51.952236290141066], [7.611431016341012, 51.95222854927815], [7.611535853047322, 51.952149149424926]]",
6,SP KÖRNERSTRASSE,615,615,22102,21,11,Revier Innenstadt-West,SP KÖRNERSTRASSE,10,BC-0: BC-Bereich ohne Ballspielangebot,"404939,4523","MULTIPOLYGON (((404931.7271 5756732.9961, 404940.892 5756733.44, 404944.8926 5756733.6338, 404944.9432 5756732.4396, 404945.062 5756729.638, 404945.0988 5756728.801, 404945.1087 5756728.576, 404945.1128 5756728.484, 404945.12 5756728.32, 404945.5967 5756717.481, 404945.8353 5756712.0524, 404945.8764 5756711.1193, 404946.228 5756703.122, 404946.8122 5756689.834, 404946.8176 5756689.713, 404946.8229 5756689.59, 404947.082 5756683.698, 404947.1252 5756682.807, 404945.346 5756680.697, 404943.8043 5756680.0999, 404942.312 5756679.522, 404942.139 5756679.4542, 404941.922 5756679.4438, 404935.238 5756679.119, 404934.1684 5756679.0673, 404934.151 5756679.198, 404932.5562 5756714.403, 404932.5353 5756714.8648, 404931.719 5756732.885, 404931.7271 5756732.9961)))","[7.616716169113587, 51.95292870886649]","[[7.61659648299115, 51.953164800791214], [7.616729682922304, 51.953170357334145], [7.616787826455433, 51.95317278307707], [7.616788892876994, 51.95316205776873], [7.616791396045826, 51.95313689614989], [7.616792162907872, 51.953129379142126], [7.616792369163029, 51.953127358442394], [7.616792454254915, 51.95312653220962], [7.616792604359236, 51.95312505934131], [7.616802537190437, 51.953027715461374], [7.6168075097423555, 51.95297896176861], [7.61680836573328, 51.952970581709394], [7.616815692615316, 51.95289875880431], [7.616827866549195, 51.95277942067824], [7.616827978572322, 51.95277833400371], [7.61682808969396, 51.95277722933527], [7.61683348857698, 51.952724313914025], [7.616834363460851, 51.952716312625135], [7.616809065162887, 51.95269704299433], [7.616786803296037, 51.95269141251461], [7.616765254742912, 51.95268596305158], [7.616762756875931, 51.95268532406833], [7.61675960306542, 51.95268519349917], [7.616662461131952, 51.95268113159135], [7.616646916022715, 51.952680484060224], [7.616646626748738, 51.95268165587092], [7.616613687836317, 51.95299782016014], [7.6166132560450865, 51.953001967434126], [7.616596395896246, 51.95316380079453], [7.61659648299115, 51.953164800791214]]",
