WKT,ID,Produkt,Teilprodukt,Name,Plz,Strname,Hsnr,Rechtswert,Hochwert
"POINT (3404643 5756378)",287,Turn- und Sporthallen,Einfachhallen,Gottfried-v-Cappenberg,48151,Glatzer Weg,9,3404643,5756378
"POINT (3404643 5756378)",288,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Gottfried-von-Cappenberg-,48151,Glatzer Weg,9,3404643,5756378
"POINT (3405310 5757048)",289,Turn- und Sporthallen,Einfachhallen,"Geistschule, alte H.",48151,Grevingstraße,24,3405310,5757048
"POINT (3405310 5757048)",290,Turn- und Sporthallen,Einfachhallen,"Geistschule, neue H.",48151,Grevingstraße,24,3405310,5757048
"POINT (3405355 5756819)",291,Bezirkssportanlage,überlassen,Sportanlage Grevingstraße,48151,Grevingstraße,32,3405355,5756819
"POINT (3405355 5756819)",292,Sondersportanlagen,Bouleanlagen,Sportanlage Grevingstraße,48151,Grevingstraße,32,3405355,5756819
"POINT (3405355 5756819)",293,Sondersportanlagen,Speckbrettanlagen,Sportanlage Grevingstraße,48151,Grevingstraße,32,3405355,5756819
"POINT (3405355 5756819)",294,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Grevingstraße,48151,Grevingstraße,32,3405355,5756819
"POINT (3404653 5763948)",295,Turn- und Sporthallen,Einfachhallen,Waldschule Kinderhaus,48159,Große Wiese,14,3404653,5763948
"POINT (3404653 5763948)",296,Sportaußenanlagen an Schulen,Haupt-/Realschulen,Sportfläche Waldschule Kinderhaus,48159,Große Wiese,14,3404653,5763948
"POINT (3405500 5759118)",297,Turn- und Sporthallen,Einfachhallen,Annette-von-Droste-Hülshoff-Gymnasium,48143,Grüne Gasse,40,3405500,5759118
"POINT (3405500 5759118)",298,Sportaußenanlagen an Schulen,Gymnasien/B.-Kollegs,Sportfläche Annette-von-Droste-Hülshoff-Gymnasium,48143,Grüne Gasse,40,3405500,5759118
"POINT (3404668 5756968)",299,Turn- und Sporthallen,Einfachhallen,Matthias-Claudius-,48151,Gut Insel,36,3404668,5756968
"POINT (3404668 5756968)",300,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Matthias-Claudius-,48151,Gut Insel,36,3404668,5756968
"POINT (3404633 5756804)",301,Turn- und Sporthallen,Dreifachhallen,Ludwig-Erhard-Berufskolleg,48151,Gut Insel,41,3404633,5756804
"POINT (3404633 5756804)",302,Sportaußenanlagen an Schulen,Gymnasien/B.-Kollegs,Sportfläche Ludwig-Erhard-Berufskolleg,48151,Gut Insel,41,3404633,5756804
"POINT (3406945 5759334)",303,Turn- und Sporthallen,Einfachhallen,Bodelschwinghschule,48145,Gutenbergstraße,14,3406945,5759334
"POINT (3406945 5759334)",304,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Bodelschwinghschule,48145,Gutenbergstraße,14,3406945,5759334
"POINT (3409321 5766659)",305,Sondersportanlagen,Bouleanlagen,Hakenesheide Gelmer,48157,Hakenesheide,22,3409321,5766659
"POINT (3409118 5766584)",306,Bezirkssportanlage,überlassen,Sportanlage Hakenesheide,48157,Hakenesheide,39,3409118,5766584
"POINT (3405518 5756072)",307,Bezirkssportanlage,überlassen,Preußenstadion,48153,Hammer Straße,302,3405518,5756072
"POINT (3402509 5760687)",308,Bezirkssportanlage,überlassen,Sportanlage Hensenstraße/Gievenbecker Weg,48161,Gievenbecker Weg,200,3402509,5760687
"POINT (3402509 5760687)",309,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Hensenstraße/Gievenbecker Weg,48161,Gievenbecker Weg,200,3402509,5760687
"POINT (3411202 5762527)",310,Turn- und Sporthallen,Zweifachhalle,Turnhalle Middelfeld,48157,Heriburgstraße,17,3411202,5762527
"POINT (3411202 5762527)",311,Bezirkssportanlage,überlassen,Sportanlage Handorf,48157,Heriburgstraße,17,3411202,5762527
"POINT (3411202 5762527)",312,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Handorf,48157,Heriburgstraße,17,3411202,5762527
"POINT (3405489 5758357)",313,Turn- und Sporthallen,Einfachhallen,Josefschule,48151,Hermannstraße,58,3405489,5758357
"POINT (3405489 5758357)",314,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Josefschule,48151,Hermannstraße,58,3405489,5758357
"POINT (3409299 5754961)",315,Turn- und Sporthallen,Einfachhallen,Annette-von-Droste-Hülshoff,48167,Höftestraße,4,3409299,5754961
"POINT (3407686 5758909)",316,Turn- und Sporthallen,Dreifachhallen,Hans-Böckler-Berufskolleg,48155,Hoffschultestraße,25,3407686,5758909
"POINT (3404872 5755419)",317,Turn- und Sporthallen,Einfachhallen,Gemeinschaftsgrundschule Berg Fidel,48153,Hogenbergstraße,160,3404872,5755419
"POINT (3404872 5755419)",318,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Gemeinschaftsgrundschule Berg Fidel,48153,Hogenbergstraße,160,3404872,5755419
"POINT (3398945 5755412)",319,Bezirkssportanlage,überlassen,Sportanlage Concordenstraße,48163,Hohe Geist,7,3398945,5755412
"POINT (3398798 5755359)",320,Turn- und Sporthallen,Dreifachhallen,Ludgerusschule Albachten,48163,Hohe Geist,8,3398798,5755359
"POINT (3407174 5762450)",321,Turn- und Sporthallen,Zweifachhalle,Norbert-Grundschule,48147,Hoher Heckenweg,241,3407174,5762450
"POINT (3407174 5762450)",322,Turn- und Sporthallen,Gymnastikräume,Norbert-Grundschule,48147,Hoher Heckenweg,241,3407174,5762450
"POINT (3403913 5760490)",323,Turn- und Sporthallen,Leichtathletikhalle,Leichtathl.-halle,48149,Horstmarer Landweg,45,3403913,5760490
"POINT (3403913 5760490)",324,Turn- und Sporthallen,Krafträume,Leichtathl.-halle,48149,Horstmarer Landweg,45,3403913,5760490
"POINT (3403791 5760628)",325,Sondersportanlagen,Beachvolleyballanlagen,Universitätsgelände,48149,Horstmarer Landweg,62,3403791,5760628
"POINT (3404926 5768108)",326,Bezirkssportanlage,überlassen,Sportanlage Sprakel,48159,Im Draum,41,3404926,5768108
"POINT (3404926 5768108)",327,Sondersportanlagen,Bouleanlagen,Sportanlage Im Draum,48159,Im Draum,41,3404926,5768108
"POINT (3404926 5768108)",328,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Sprakel,48159,Im Draum,41,3404926,5768108
"POINT (3409035 5762559)",329,Turn- und Sporthallen,Einfachhallen,Turnhalle Dyckburg,48157,Im Sundern,11,3409035,5762559
"POINT (3405075 5768015)",330,Turn- und Sporthallen,Einfachhallen,Grundschule Sprakel,48159,In der Au,3,3405075,5768015
